软件名称,软件版本,依赖软件数,开发商,官网地址
openEuler:filesystem,3.16-4.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:findutils,4.8.0-3.oe2203,0,openEuler,https://openeuler.org
openEuler:fipscheck,1.5.0-8.oe2203,0,openEuler,https://www.openeuler.org
openEuler:firewalld,1.0.2-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:flac,1.3.3-5.oe2203,0,openEuler,https://openeuler.org
openEuler:flatbuffers,2.0.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:flex,2.6.4-3.oe2203,0,openEuler,https://www.openeuler.org
openEuler:fontconfig,2.13.94-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:fonts-rpm-macros,2.0.5-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:fpaste,0.4.2.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:freetype,2.11.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:fribidi,1.0.10-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:fros,1.1-18.oe2203,0,openEuler,https://www.openeuler.org
openEuler:fuse,2.9.9-9.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:fuse3,3.10.5-3.oe2203,0,openEuler,https://openeuler.org
openEuler:gawk,5.1.1-1.oe2203,0,openEuler,https://openeuler.org
openEuler:gazelle,1.0.1-6.oe2203,0,openEuler,https://www.openeuler.org
openEuler:gc,8.0.6-1.oe2203,0,openEuler,https://openeuler.org
openEuler:gcc,10.3.1-10.oe2203,0,openEuler,https://openeuler.org
openEuler:gcr,3.41.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:gd,2.3.2-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:gdb,11.1-1.oe2203,0,openEuler,https://www.openeuler.org/
openEuler:gdbm,1.22-3.oe2203,0,openEuler,https://www.openeuler.org/
openEuler:gdisk,1.0.8-2.oe2203,0,openEuler,https://www.openeuler.org/
openEuler:gdk-pixbuf2,2.42.6-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:gettext,0.21-4.oe2203,0,openEuler,https://openeuler.org
openEuler:gflags,2.2.2-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:giflib,5.2.1-3.oe2203,0,openEuler,https://www.openeuler.org
openEuler:git,2.33.0-1.oe2203,0,openEuler,https://openeuler.org
openEuler:glade,3.36.0-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:glib-networking,2.68.1-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:glib2,2.68.1-10.oe2203,0,openEuler,https://www.openeuler.org
openEuler:glibc,2.34-70.oe2203,0,openEuler,https://openeuler.org
openEuler:glusterfs,10.0-4.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:gmp,6.2.1-1.oe2203,0,openEuler,https://www.openeuler.org/
openEuler:gnupg2,2.2.32-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:gnutls,3.7.2-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:gobject-introspection,1.70.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:golang,1.17.3-1.oe2203,0,openEuler,https://openeuler.org
openEuler:google-droid-fonts,20200215-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:google-noto-cjk-fonts,20170602-9.oe2203,0,openEuler,https://www.openeuler.org
openEuler:gperftools,2.9.1-4.oe2203,0,openEuler,https://openeuler.org
openEuler:gpgme,1.16.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:gpm,1.20.7-25.oe2203,0,openEuler,https://www.openeuler.org
openEuler:graphite2,1.3.14-5.oe2203,0,openEuler,https://www.openeuler.org
openEuler:graphviz,2.48.0-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:grep,3.7-3.oe2203,0,openEuler,https://www.openeuler.org
openEuler:groff,1.22.4-9.oe2203,0,openEuler,https://www.openeuler.org
openEuler:grpc,1.41.1-3.oe2203,0,openEuler,https://www.openeuler.org
openEuler:grub2,2.06-3.oe2203,0,openEuler,https://www.openeuler.org
openEuler:grubby,8.40-28.oe2203,0,openEuler,https://openeuler.org
openEuler:gsettings-desktop-schemas,41.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:gssproxy,0.8.4-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:gstreamer1,1.19.3-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:gstreamer1-plugins-base,1.18.4-3.oe2203,0,openEuler,https://www.openeuler.org
openEuler:gtk2,2.24.33-4.oe2203,0,openEuler,https://www.openeuler.org
openEuler:gtk3,3.24.30-5.oe2203,0,openEuler,https://www.openeuler.org
openEuler:guile,2.0.14-18.oe2203,0,openEuler,https://www.openeuler.org
openEuler:gzip,1.11-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:haproxy,2.4.8-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:harfbuzz,2.8.2-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:haveged,1.9.15-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:hdparm,9.62-3.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:hicolor-icon-theme,0.17-6.oe2203,0,openEuler,https://www.openeuler.org
openEuler:hostname,3.21-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:http-parser,2.9.4-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:httpd,2.4.51-5.oe2203,0,openEuler,https://www.openeuler.org
openEuler:hwdata,0.353-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:hwinfo,21.77-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:hyperscan,5.4.0-1.oe2203,0,openEuler,https://openeuler.org
openEuler:hyphen,2.8.8-14.oe2203,0,openEuler,https://openeuler.org
openEuler:i2c-tools,4.3-1.oe2203,0,openEuler,https://openeuler.org
openEuler:icu,69.1-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:ima-evm-utils,1.3.2-3.oe2203,0,openEuler,https://www.openeuler.org
openEuler:inih,49-1.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:initscripts,10.12-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:install-scripts,1.2-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:intel-sgx-ssl,2.15.1-1.oe2203,0,openEuler,https://openeuler.org
openEuler:intltool,0.51.0-14.oe2203,0,openEuler,https://www.openeuler.org
openEuler:iotop,0.6-23.oe2203,0,openEuler,https://www.openeuler.org/
openEuler:ipcalc,1.0.1-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:ipmitool,1.8.18-18.oe2203,0,openEuler,https://www.openeuler.org
openEuler:iproute,5.15.0-3.oe2203,0,openEuler,https://www.openeuler.org
openEuler:iprutils,2.4.19-1.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:ipset,7.15-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:iptables,1.8.7-5.oe2203,0,openEuler,https://www.openeuler.org
openEuler:iptraf-ng,1.2.1-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:iptstate,2.2.7-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:iputils,20210722-4.oe2203,0,openEuler,https://www.openeuler.org
openEuler:ipvsadm,1.31-5.oe2203,0,openEuler,https://www.openeuler.org
openEuler:ipxe,1.21.1-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:irqbalance,1.8.0-7.oe2203,0,openEuler,https://openeuler.org
openEuler:iso-codes,4.7.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:isomd5sum,1.2.3-5.oe2203,0,openEuler,https://openeuler.org
openEuler:isula-build,0.9.6-6.oe2203,0,openEuler,https://www.openeuler.org
openEuler:iSulad,2.0.11-6.oe2203,0,openEuler,https://openeuler.org
openEuler:itrustee_sdk,0.1.0-5.oe2203,0,openEuler,https://openeuler.org
openEuler:jansson,2.14-1.oe2203,0,openEuler,https://openeuler.org
openEuler:jbig2dec,0.19-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:jbigkit,2.1-19.oe2203,0,openEuler,https://www.openeuler.org
openEuler:jitterentropy-library,3.3.1-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:json-c,0.15-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:json-glib,1.6.2-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:jsoncpp,1.9.5-3.oe2203,0,openEuler,https://www.openeuler.org
openEuler:kata-containers,1.11.1-23.oe2203,0,openEuler,https://www.openeuler.org
openEuler:kbd,2.4.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:kdump-anaconda-addon,005-10.oe2203,0,openEuler,https://openeuler.org
openEuler:Keepalived,2.2.4-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:kernel,5.10.0-60.18.0.50.oe2203,0,openEuler,https://openeuler.org
openEuler:kernel,4.19.90-2012.4.0.0053.oe1,0,openEuler,https://openeuler.org
openEuler:kexec-tools,2.0.23-4.oe2203,0,openEuler,https://openeuler.org
openEuler:keybinder3,0.3.2-9.oe2203,0,openEuler,https://www.openeuler.org
openEuler:keyutils,1.6.3-3.oe2203,0,openEuler,https://www.openeuler.org
openEuler:kiwi,9.21.7-2.oe2203,0,openEuler,https://openeuler.org
openEuler:kmod,29-3.oe2203,0,openEuler,https://openeuler.org
openEuler:kpatch,0.9.5-4.oe2203,0,openEuler,https://openeuler.org
openEuler:krb5,1.19.2-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:ksh,2020.0.0-7.oe2203,0,openeuler,https://openeuler.org
openEuler:langtable,0.0.56-1.oe2203,0,openEuler,https://openeuler.org
openEuler:lapack,3.10.0-4.oe2203,0,openeuler,https://openeuler.org
openEuler:lcms2,2.12-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:lcr,2.0.7-2.oe2203,0,openEuler,https://openeuler.org
openEuler:less,590-1.oe2203,0,openEuler,https://openeuler.org
openEuler:lftp,4.9.2-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libaio,0.3.112-2.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:libarchive,3.5.2-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libassuan,2.5.5-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libasyncns,0.8-17.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libatasmart,0.19-18.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:libatomic_ops,7.6.12-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libblockdev,2.26-1.oe2203,0,openEuler,https://www.openeuler.org/
openEuler:libbpf,0.3-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libbytesize,2.6-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libcap,2.61-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libcap-ng,0.8.2-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libcareplus,1.0.0-8.oe2203,0,openEuler,https://openeuler.org
openEuler:libcgroup,0.42.2-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libcomps,0.1.18-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libconfig,1.7.3-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libdaemon,0.14-20.oe2203,0,openEuler,https://openeuler.org
openEuler:libdatrie,0.2.13-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libdmx,1.1.4-6.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libdnet,1.14-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libdnf,0.65.0-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libdrm,2.4.109-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libedit,3.1-28.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libepoxy,1.5.9-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libestr,0.1.11-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libev,4.33-2.oe2203,0,openEuler,https://openeuler.org
openEuler:libevdev,1.11.0-2.oe2203,0,openEuler,https://openeuler.org
openEuler:libevent,2.1.12-4.oe2203,0,openEuler,https://openeuler.org
openEuler:libevhtp,1.2.18-3.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libfastjson,0.99.9-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libffi,3.4.2-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libfontenc,1.1.4-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libgcrypt,1.9.4-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libglvnd,1.3.4-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libgnomekbd,3.26.1-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libgpg-error,1.43-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libgtop2,2.40.0-3.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libgudev,237-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libgusb,0.3.8-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libhugetlbfs,2.23-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libICE,1.0.10-4.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libidn,1.38-3.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libidn2,2.3.2-2.oe2203,0,openEuler,https://openeuler.org
openEuler:libijs,0.35-9.oe2203,0,openEuler,https://openeuler.org
openEuler:libimagequant,2.15.1-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libinput,1.19.2-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libipt,2.0.4-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libiscsi,1.19.0-6.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:libjpeg-turbo,2.1.1-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libkcapi,1.3.1-3.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libksba,1.6.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libldb,2.4.1-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libmetalink,0.1.3-9.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libmnl,1.0.4-10.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libmodulemd,2.13.0-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libmpc,1.2.0-2.oe2203,0,openEuler,https://openeuler.org
openEuler:libndp,1.8-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libnet,1.2-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libnetfilter_conntrack,1.0.8-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libnetfilter_cthelper,1.0.0-15.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libnetfilter_cttimeout,1.0.0-14.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libnetfilter_queue,1.0.5-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libnfnetlink,1.0.1-15.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libnftnl,1.2.0-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libnl3,3.5.0-4.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libnma,1.8.32-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libnotify,0.7.9-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libnsl2,2.0.0-3.oe2203,0,openEuler,https://openeuler.org
openEuler:libogg,1.3.5-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libpaper,1.1.28-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libpcap,1.10.1-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libpciaccess,0.16-2.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:libpipeline,1.5.4-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libpng,1.6.37-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libproxy,0.4.17-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libpsl,0.21.1-4.oe2203,0,openEuler,https://openeuler.org
openEuler:libpwquality,1.4.4-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:librepo,1.14.2-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libreport,2.15.2-1.oe2203,0,openEuler,https://openeuler.org
openEuler:librsvg2,2.50.5-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libseccomp,2.5.3-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libsecret,0.20.4-1.oe2203,0,openeuler,https://www.openeuler.org
openEuler:libselinux,3.3-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libsemanage,3.3-3.oe2203,0,openEuler,https://openeuler.org
openEuler:libsepol,3.3-2.oe2203,0,openEuler,https://openeuler.org
openEuler:libserf,1.3.9-14.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libserf,1.3.9-13.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libsigsegv,2.13-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libSM,1.2.3-4.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libSM,1.2.3-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libsndfile,1.0.31-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libsodium,1.0.18-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libsolv,0.7.20-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libsoup,2.74.2-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libssh,0.9.6-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libssh2,1.10.0-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libtalloc,2.3.3-1.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:libtar,1.2.20-19.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libtasn1,4.17.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libtdb,1.4.5-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libteam,1.31-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libtevent,0.11.0-1.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:libthai,0.1.28-4.oe2203,0,openEuler,https://openeuler.org
openEuler:libtheora,1.1.1-25.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libtiff,4.3.0-9.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libtimezonemap,0.4.5.1-7.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libtirpc,1.3.2-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libtomcrypt,1.18.2-4.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libtommath,1.2.0-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libtool,2.4.6-34.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libunistring,0.9.10-8.oe2203,0,openEuler,https://openeuler.org
openEuler:libunwind,1.5.0-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libusbx,1.0.24-1.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:libuser,0.63-4.oe2203,0,openEuler,https://openeuler.org
openEuler:libutempter,1.2.1-2.oe2203,0,openEuler,https://openeuler.org
openEuler:libuv,1.42.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libverto,0.3.2-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libvisual,0.4.0-27.oe2203,0,openEuler,https://openeuler.org
openEuler:libvorbis,1.3.7-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libwacom,1.12-1.oe2203,0,openEuler,https://openeuler.org
openEuler:libwebp,1.2.1-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libwebsockets,4.3.0-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libX11,1.7.2-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libx86emu,3.1-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXau,1.0.9-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXaw,1.0.14-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libxcb,1.14-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXcomposite,0.4.5-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libxcrypt,4.4.26-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXcursor,1.2.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXdamage,1.1.5-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXdmcp,1.1.3-4.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXext,1.3.4-4.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXfixes,6.0.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXfont2,2.0.5-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXft,2.3.4-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXi,1.8-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXinerama,1.1.4-5.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libxkbcommon,1.3.1-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libxkbfile,1.1.0-4.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libxklavier,5.4-19.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libxml2,2.9.12-5.oe2203,0,openEuler,https://openeuler.org
openEuler:libXmu,1.1.3-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXpm,3.5.13-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXrandr,1.5.2-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXrender,0.9.10-10.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXScrnSaver,1.2.3-4.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libxshmfence,1.3-7.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libxslt,1.1.34-6.oe2203,0,openEuler,https://openeuler.org
openEuler:libXt,1.2.1-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXtst,1.2.3-10.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXv,1.0.11-11.oe2203,0,openEuler,https://www.openeuler.org
openEuler:libXvMC,1.0.12-1.oe2203,0,openeuler,https://www.openeuler.org
openEuler:libXxf86vm,1.1.4-13.oe2203,0,openeuler,https://www.openeuler.org
openEuler:libyaml,0.2.5-2.oe2203,0,openeuler,https://openeuler.org
openEuler:linux-sgx,2.15.1-1.oe2203,0,openEuler,https://openeuler.org
openEuler:linux-sgx-driver,2.11-5.oe2203,0,openEuler,https://openeuler.org
openEuler:lksctp-tools,1.0.19-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:lldpad,1.1-2.oe2203,0,openeuler,https://www.openeuler.org
openEuler:llvm,12.0.1-2.oe2203,0,openeuler,https://openeuler.org
openEuler:lmdb,0.9.29-1.oe2203,0,openeuler,https://www.openeuler.org
openEuler:lm_sensors,3.6.0-5.oe2203,0,openeuler,https://openeuler.org
openEuler:logrotate,3.18.1-1.oe2203,0,openeuler,https://www.openeuler.org
openEuler:lsof,4.94.0-1.oe2203,0,openeuler,https://www.openeuler.org
openEuler:lsscsi,0.32-1.oe2203,0,openeuler,https://www.openeuler.org/zh/
openEuler:lua,5.4.3-3.oe2203,0,openeuler,https://www.openeuler.org
openEuler:lvm2,2.03.14-4.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:lwip,2.1.3-10.oe2203,0,openEuler,https://www.openeuler.org
openEuler:lxc,4.0.3-2022031701.oe2203,0,openEuler,https://www.openeuler.org
openEuler:lxcfs,4.0.11-2.oe2203,0,openeuler,https://openeuler.org
openEuler:lxcfs-tools,0.3-25.oe2203,0,openEuler,https://openeuler.org
openEuler:lz4,1.9.3-2.oe2203,0,openeuler,https://www.openeuler.org
openEuler:lzo,2.10-1.oe2203,0,openeuler,https://www.openeuler.org
openEuler:lzop,1.04-1.oe2203,0,openeuler,https://www.openeuler.org
openEuler:m4,1.4.19-2.oe2203,0,openeuler,https://openeuler.org
openEuler:mailcap,2.1.53-1.oe2203,0,openeuler,https://www.openeuler.org
openEuler:maildrop,3.0.3-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:make,4.3-2.oe2203,0,openeuler,https://openeuler.org
openEuler:man-db,2.9.4-2.oe2203,0,openeuler,https://www.openeuler.org
openEuler:man-pages,5.13-2.oe2203,0,openeuler,https://www.openeuler.org
openEuler:mariadb-connector-c,3.1.13-1.oe2203,0,openeuler,https://www.openeuler.org/
openEuler:mcelog,179-1.oe2203,0,openEuler,https://openeuler.org
openEuler:mcpp,2.7.2-28.oe2203,0,openeuler,https://openeuler.org
openEuler:mcstrans,3.3-1.oe2203,0,openeuler,https://openeuler.org
openEuler:mdadm,4.1-5.oe2203,0,openeuler,https://www.openeuler.org/zh/
openEuler:mesa,21.3.1-1.oe2203,0,openeuler,https://www.openeuler.org
openEuler:metacity,3.37.1-2.oe2203,0,openeuler,https://www.openeuler.org
openEuler:mod_http2,1.15.25-1.oe2203,0,openeuler,https://www.openeuler.org
openEuler:mokutil,0.5.0-1.oe2203,0,openeuler,https://www.openeuler.org
openEuler:mozjs91,91.6.0-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:mpfr,4.1.0-1.oe2203,0,openeuler,https://www.openeuler.org
openEuler:mtdev,1.1.6-2.oe2203,0,openeuler,https://openeuler.org
openEuler:mtools,4.0.35-1.oe2203,0,openeuler,https://www.openeuler.org/
openEuler:mtr,0.94-3.oe2203,0,openeuler,https://www.openeuler.org
openEuler:multipath-tools,0.8.7-2.oe2203,0,openeuler,https://www.openeuler.org/zh/
openEuler:mutt,2.1.3-1.oe2203,0,openeuler,https://www.openeuler.org
openEuler:nasm,2.15.05-2.oe2203,0,openEuler,https://openeuler.org
openEuler:ncurses,6.3-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:ndctl,71.1-3.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:ndisc6,1.0.4-4.oe2203,0,openEuler,https://www.openeuler.org
openEuler:ndisc6,1.0.4-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:net-snmp,5.9.1-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:net-tools,2.10-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:nettle,3.7.3-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:network-manager-applet,1.24.0-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:NetworkManager,1.32.12-8.oe2203,0,openEuler,https://www.openeuler.org
openEuler:newt,0.52.21-6.oe2203,0,openEuler,https://www.openeuler.org
openEuler:nfs-utils,2.5.4-4.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:nfs4-acl-tools,0.3.7-4.oe2203,0,openEuler,https://www.openeuler.org/zh/
openEuler:nftables,1.0.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:nghttp2,1.46.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:nmap,7.92-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:npth,1.6-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:nspr,4.32.0-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:nss,3.72.0-2.oe2203,0,openEuler,https://www.openeuler.org
openEuler:nss-pam-ldapd,0.9.11-1.oe2203,0,openEuler,https://openeuler.org
openEuler:nss-pem,1.0.8-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:nss_nis,3.1-1.oe2203,0,openEuler,https://www.openeuler.org
openEuler:ntp,4.2.8p15-5.oe2203,0,openEuler,https://www.openeuler.org
openEuler:ntpstat,0.6-3.oe2203,0,openEuler,https://www.openeuler.org
